epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,5895.27,0.71653,0.58877,1.13048,0.84968,0.84138,0.90537,0.73871,0.68496,0.7749,1.25254,0.000523586,0.000523586,0.000523586
130,5942.1,0.72457,0.60146,1.12885,0.86169,0.79334,0.89272,0.71841,0.698,0.80801,1.27428,0.000516512,0.000516512,0.000516512
131,5988.4,0.7093,0.58245,1.12035,0.83635,0.85196,0.90227,0.73109,0.69169,0.728,1.26744,0.000509438,0.000509438,0.000509438
132,6033.49,0.728,0.59741,1.12999,0.82327,0.86039,0.92057,0.74654,0.69751,0.71255,1.26049,0.000502365,0.000502365,0.000502365
133,6078.76,0.71477,0.59398,1.13017,0.81817,0.85581,0.91912,0.74282,0.69376,0.72749,1.25714,0.000495291,0.000495291,0.000495291
134,6124.09,0.71706,0.58821,1.12898,0.85345,0.86126,0.92618,0.75258,0.69387,0.71507,1.25315,0.000488218,0.000488218,0.000488218
135,6168.46,0.71145,0.57459,1.11946,0.8264,0.82154,0.90906,0.74131,0.69748,0.79355,1.25041,0.000481144,0.000481144,0.000481144
136,6214.29,0.71547,0.59154,1.12403,0.85235,0.84161,0.91939,0.753,0.7014,0.72647,1.26358,0.000474071,0.000474071,0.000474071
137,6260.3,0.71518,0.58796,1.13283,0.86569,0.84849,0.92646,0.76112,0.68888,0.67736,1.25732,0.000466997,0.000466997,0.000466997
138,6306.59,0.7118,0.57715,1.1221,0.87568,0.83537,0.92091,0.74894,0.69171,0.69213,1.25809,0.000459924,0.000459924,0.000459924
139,6352.21,0.70059,0.57288,1.11949,0.84179,0.84798,0.91272,0.74467,0.68845,0.6897,1.26067,0.00045285,0.00045285,0.00045285
140,6397.79,0.69371,0.57529,1.11955,0.83633,0.85081,0.9137,0.73916,0.68126,0.69567,1.2475,0.000445777,0.000445777,0.000445777
141,6444.05,0.68777,0.56421,1.11414,0.82198,0.82889,0.89536,0.73134,0.69067,0.76895,1.25247,0.000438703,0.000438703,0.000438703
142,6491.59,0.70165,0.56391,1.11211,0.84563,0.83243,0.90447,0.73826,0.69612,0.76565,1.26569,0.000431629,0.000431629,0.000431629
143,6537.52,0.68283,0.56171,1.10967,0.86425,0.84575,0.92524,0.74954,0.68637,0.67943,1.2629,0.000424556,0.000424556,0.000424556
144,6583.31,0.68595,0.57054,1.11413,0.87815,0.83115,0.92161,0.74518,0.68596,0.72552,1.25606,0.000417482,0.000417482,0.000417482
145,6628.03,0.67376,0.54883,1.10004,0.81681,0.87351,0.91831,0.74842,0.69082,0.71558,1.25849,0.000410409,0.000410409,0.000410409
146,6673.38,0.69128,0.56389,1.11085,0.85445,0.83982,0.91087,0.74259,0.67978,0.74926,1.23725,0.000403335,0.000403335,0.000403335
147,6719.04,0.69183,0.55596,1.10685,0.88091,0.82706,0.91144,0.7403,0.69257,0.73389,1.25549,0.000396262,0.000396262,0.000396262
148,6764.03,0.67323,0.55509,1.10446,0.848,0.84885,0.9088,0.74188,0.69513,0.72329,1.25643,0.000389188,0.000389188,0.000389188
149,6809.83,0.69792,0.56318,1.11318,0.85451,0.82358,0.90415,0.73231,0.68942,0.76803,1.2587,0.000382115,0.000382115,0.000382115
150,6855.6,0.67976,0.56212,1.10826,0.84131,0.83807,0.9085,0.74319,0.69057,0.76246,1.26304,0.000375041,0.000375041,0.000375041
151,6900.98,0.66695,0.54549,1.09893,0.8996,0.80649,0.907,0.74977,0.67979,0.73223,1.25331,0.000367967,0.000367967,0.000367967
152,6946.45,0.67054,0.54121,1.10096,0.8538,0.86684,0.91947,0.76187,0.68559,0.6718,1.25507,0.000360894,0.000360894,0.000360894
153,6992.05,0.68078,0.55991,1.10919,0.86207,0.86085,0.91472,0.74882,0.68182,0.70608,1.25512,0.00035382,0.00035382,0.00035382
154,7038.07,0.67123,0.54088,1.10406,0.85454,0.85595,0.90725,0.74106,0.67756,0.74595,1.25269,0.000346747,0.000346747,0.000346747
155,7083.75,0.66883,0.54256,1.09735,0.83218,0.82346,0.88836,0.72908,0.67221,0.82577,1.25148,0.000339673,0.000339673,0.000339673
156,7129.82,0.65634,0.53158,1.08812,0.82249,0.84624,0.89472,0.74193,0.66757,0.77018,1.24485,0.0003326,0.0003326,0.0003326
157,7175.46,0.66754,0.53814,1.09908,0.86692,0.8267,0.90235,0.74501,0.66904,0.76284,1.24367,0.000325526,0.000325526,0.000325526
158,7220.64,0.66403,0.53942,1.09895,0.85862,0.83092,0.90831,0.74453,0.67175,0.73135,1.24164,0.000318453,0.000318453,0.000318453
159,7266.3,0.66606,0.54217,1.0947,0.84236,0.8584,0.90929,0.75033,0.67659,0.73976,1.24469,0.000311379,0.000311379,0.000311379
160,7311.69,0.65406,0.52591,1.08566,0.85378,0.86126,0.91287,0.75309,0.67677,0.72529,1.2449,0.000304306,0.000304306,0.000304306
161,7356.93,0.65827,0.53467,1.09348,0.8573,0.84967,0.91206,0.75511,0.66894,0.73095,1.2349,0.000297232,0.000297232,0.000297232
162,7402.55,0.65043,0.51924,1.08459,0.85664,0.85215,0.90123,0.74397,0.6752,0.75728,1.23887,0.000290158,0.000290158,0.000290158
163,7447.23,0.65826,0.51156,1.09508,0.83612,0.84104,0.89145,0.73607,0.67016,0.78822,1.24031,0.000283085,0.000283085,0.000283085
164,7492.78,0.66162,0.52343,1.09548,0.83428,0.83952,0.89513,0.74703,0.66838,0.79681,1.23645,0.000276011,0.000276011,0.000276011
165,7538.34,0.6413,0.51943,1.08421,0.8605,0.84337,0.90679,0.75481,0.67158,0.76639,1.23517,0.000268938,0.000268938,0.000268938
166,7584.56,0.6589,0.53277,1.0892,0.85127,0.84107,0.90537,0.74814,0.67573,0.78074,1.23628,0.000261864,0.000261864,0.000261864
167,7630.25,0.64948,0.51796,1.08239,0.8433,0.85546,0.9126,0.75415,0.67753,0.75556,1.23752,0.000254791,0.000254791,0.000254791
168,7675.23,0.64269,0.52833,1.08167,0.82734,0.83722,0.89756,0.73967,0.68521,0.79368,1.24503,0.000247717,0.000247717,0.000247717
169,7720.72,0.65118,0.52147,1.08965,0.83207,0.85546,0.904,0.74695,0.68422,0.75305,1.25723,0.000240644,0.000240644,0.000240644
170,7766.3,0.65031,0.51225,1.08497,0.83034,0.84608,0.90586,0.74993,0.68496,0.76198,1.25986,0.00023357,0.00023357,0.00023357
171,7812.48,0.63953,0.50773,1.07636,0.8549,0.83545,0.90229,0.7418,0.68877,0.7993,1.26354,0.000226497,0.000226497,0.000226497
172,7857.94,0.6415,0.51591,1.07784,0.87684,0.82077,0.90408,0.74275,0.68626,0.78736,1.26201,0.000219423,0.000219423,0.000219423
173,7902.86,0.64242,0.51701,1.08382,0.85999,0.83855,0.90468,0.74372,0.68422,0.78843,1.26211,0.000212349,0.000212349,0.000212349
174,7948.54,0.6498,0.51697,1.08547,0.86602,0.83566,0.90802,0.74563,0.68705,0.77903,1.26274,0.000205276,0.000205276,0.000205276
175,7993.85,0.62771,0.50883,1.07148,0.88034,0.80474,0.90093,0.74114,0.68295,0.79206,1.2605,0.000198202,0.000198202,0.000198202
176,8039.14,0.6461,0.52224,1.08846,0.90018,0.81284,0.91045,0.75338,0.67446,0.72758,1.2526,0.000191129,0.000191129,0.000191129
177,8084.64,0.62907,0.50225,1.07115,0.89541,0.81585,0.91177,0.75648,0.67313,0.73777,1.24757,0.000184055,0.000184055,0.000184055
